Gx,Gy,Gz,RF
0,0,0,0
0.114971,0,0,0
0.229941,0,0,0
0.344912,0,0,0
0.459883,0,0,0
0.574853,0,0,0
0.689824,0,0,0
0.804795,0,0,0
0.919766,0,0,0
1.034736,0,0,0
1.149707,0,0,0
1.264678,0,0,0
1.379648,0,0,0
1.494619,0,0,0
1.60959,0,0,0
1.72456,0,0,0
1.839531,0,0,0
1.954502,0,0,0
2.069473,0,0,0
2.184443,0,0,0
2.299414,0,0,0
2.414385,0,0,0
2.529355,0,0,0
2.644326,0,0,0
2.759297,0,0,0
2.874268,0,0,0
2.989238,0,0,0
3.104209,0,0,0
3.21918,0,0,0
3.33415,0,0,0
3.449121,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0
3.564092,0,0,0.171576
3.564092,0,0,0.171576
3.564092,0,0,0.171576
3.564092,0,0,0.171576
3.564092,0,0,0.171576
3.564092,0,0,0.139235
3.564092,0,0,0.139235
3.564092,0,0,0.139235
3.564092,0,0,0.139235
3.564092,0,0,0.134849
3.564092,0,0,0.134849
3.564092,0,0,0.134849
3.564092,0,0,0.134849
3.564092,0,0,0.1047
3.564092,0,0,0.1047
3.564092,0,0,0.1047
3.564092,0,0,0.1047
3.564092,0,0,0.069617
3.564092,0,0,0.069617
3.564092,0,0,0.069617
3.564092,0,0,0.069617
3.564092,0,0,0.020282
3.564092,0,0,0.020282
3.564092,0,0,0.020282
3.564092,0,0,0.020282
3.564092,0,0,0.020282
3.564092,0,0,-0.035631
3.564092,0,0,-0.035631
3.564092,0,0,-0.035631
3.564092,0,0,-0.035631
3.564092,0,0,-0.09867
3.564092,0,0,-0.09867
3.564092,0,0,-0.09867
3.564092,0,0,-0.09867
3.564092,0,0,-0.16445
3.564092,0,0,-0.16445
3.564092,0,0,-0.16445
3.564092,0,0,-0.16445
3.564092,0,0,-0.229134
3.564092,0,0,-0.229134
3.564092,0,0,-0.229134
3.564092,0,0,-0.229134
3.564092,0,0,-0.289981
3.564092,0,0,-0.289981
3.564092,0,0,-0.289981
3.564092,0,0,-0.289981
3.564092,0,0,-0.342057
3.564092,0,0,-0.342057
3.564092,0,0,-0.342057
3.564092,0,0,-0.342057
3.564092,0,0,-0.342057
3.564092,0,0,-0.382073
3.564092,0,0,-0.382073
3.564092,0,0,-0.382073
3.564092,0,0,-0.382073
3.564092,0,0,-0.405644
3.564092,0,0,-0.405644
3.564092,0,0,-0.405644
3.564092,0,0,-0.405644
3.564092,0,0,-0.411674
3.564092,0,0,-0.411674
3.564092,0,0,-0.411674
3.564092,0,0,-0.411674
3.564092,0,0,-0.395777
3.564092,0,0,-0.395777
3.564092,0,0,-0.395777
3.564092,0,0,-0.395777
3.564092,0,0,-0.359598
3.564092,0,0,-0.359598
3.564092,0,0,-0.359598
3.564092,0,0,-0.359598
3.564092,0,0,-0.359598
3.564092,0,0,-0.301492
3.564092,0,0,-0.301492
3.564092,0,0,-0.301492
3.564092,0,0,-0.301492
3.564092,0,0,-0.224201
3.564092,0,0,-0.224201
3.564092,0,0,-0.224201
3.564092,0,0,-0.224201
3.564092,0,0,-0.128819
3.564092,0,0,-0.128819
3.564092,0,0,-0.128819
3.564092,0,0,-0.128819
3.564092,0,0,-0.021379
3.564092,0,0,-0.021379
3.564092,0,0,-0.021379
3.564092,0,0,-0.021379
3.564092,0,0,0.095381
3.564092,0,0,0.095381
3.564092,0,0,0.095381
3.564092,0,0,0.095381
3.564092,0,0,0.213785
3.564092,0,0,0.213785
3.564092,0,0,0.213785
3.564092,0,0,0.213785
3.564092,0,0,0.213785
3.564092,0,0,0.329997
3.564092,0,0,0.329997
3.564092,0,0,0.329997
3.564092,0,0,0.329997
3.564092,0,0,0.434149
3.564092,0,0,0.434149
3.564092,0,0,0.434149
3.564092,0,0,0.434149
3.564092,0,0,0.524048
3.564092,0,0,0.524048
3.564092,0,0,0.524048
3.564092,0,0,0.524048
3.564092,0,0,0.589828
3.564092,0,0,0.589828
3.564092,0,0,0.589828
3.564092,0,0,0.589828
3.564092,0,0,0.629845
3.564092,0,0,0.629845
3.564092,0,0,0.629845
3.564092,0,0,0.629845
3.564092,0,0,0.629845
3.564092,0,0,0.638067
3.564092,0,0,0.638067
3.564092,0,0,0.638067
3.564092,0,0,0.638067
3.564092,0,0,0.613948
3.564092,0,0,0.613948
3.564092,0,0,0.613948
3.564092,0,0,0.613948
3.564092,0,0,0.555294
3.564092,0,0,0.555294
3.564092,0,0,0.555294
3.564092,0,0,0.555294
3.564092,0,0,0.465942
3.564092,0,0,0.465942
3.564092,0,0,0.465942
3.564092,0,0,0.465942
3.564092,0,0,0.345894
3.564092,0,0,0.345894
3.564092,0,0,0.345894
3.564092,0,0,0.345894
3.564092,0,0,0.202822
3.564092,0,0,0.202822
3.564092,0,0,0.202822
3.564092,0,0,0.202822
3.564092,0,0,0.202822
3.564092,0,0,0.040564
3.564092,0,0,0.040564
3.564092,0,0,0.040564
3.564092,0,0,0.040564
3.564092,0,0,-0.129916
3.564092,0,0,-0.129916
3.564092,0,0,-0.129916
3.564092,0,0,-0.129916
3.564092,0,0,-0.303685
3.564092,0,0,-0.303685
3.564092,0,0,-0.303685
3.564092,0,0,-0.303685
3.564092,0,0,-0.467587
3.564092,0,0,-0.467587
3.564092,0,0,-0.467587
3.564092,0,0,-0.467587
3.564092,0,0,-0.615592
3.564092,0,0,-0.615592
3.564092,0,0,-0.615592
3.564092,0,0,-0.615592
3.564092,0,0,-0.615592
3.564092,0,0,-0.736189
3.564092,0,0,-0.736189
3.564092,0,0,-0.736189
3.564092,0,0,-0.736189
3.564092,0,0,-0.824444
3.564092,0,0,-0.824444
3.564092,0,0,-0.824444
3.564092,0,0,-0.824444
3.564092,0,0,-0.871038
3.564092,0,0,-0.871038
3.564092,0,0,-0.871038
3.564092,0,0,-0.871038
3.564092,0,0,-0.874327
3.564092,0,0,-0.874327
3.564092,0,0,-0.874327
3.564092,0,0,-0.874327
3.564092,0,0,-0.829926
3.564092,0,0,-0.829926
3.564092,0,0,-0.829926
3.564092,0,0,-0.829926
3.564092,0,0,-0.740026
3.564092,0,0,-0.740026
3.564092,0,0,-0.740026
3.564092,0,0,-0.740026
3.564092,0,0,-0.740026
