Gx,Gy,Gz,RF
0,0,0,0
0.20297,0,0,0
0.405939,0,0,0
0.608909,0,0,0
0.811879,0,0,0
1.014848,0,0,0
1.217818,0,0,0
1.420788,0,0,0
1.623757,0,0,0
1.826727,0,0,0
2.029697,0,0,0
2.232666,0,0,0
2.435636,0,0,0
2.638606,0,0,0
2.841576,0,0,0
3.044545,0,0,0
3.247515,0,0,0
3.450485,0,0,0
3.653454,0,0,0
3.856424,0,0,0
4.059394,0,0,0
4.262363,0,0,0
4.465333,0,0,0
4.668303,0,0,0
4.871273,0,0,0
5.074242,0,0,0
5.277212,0,0,0
5.480182,0,0,0
5.683151,0,0,0
5.886121,0,0,0
6.089091,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0
6.29206,0,0,0.165217
6.29206,0,0,0.165217
6.29206,0,0,0.165217
6.29206,0,0,0.185416
6.29206,0,0,0.185416
6.29206,0,0,0.239797
6.29206,0,0,0.239797
6.29206,0,0,0.239797
6.29206,0,0,0.281231
6.29206,0,0,0.281231
6.29206,0,0,0.329916
6.29206,0,0,0.329916
6.29206,0,0,0.329916
6.29206,0,0,0.373421
6.29206,0,0,0.373421
6.29206,0,0,0.417444
6.29206,0,0,0.417444
6.29206,0,0,0.454217
6.29206,0,0,0.454217
6.29206,0,0,0.454217
6.29206,0,0,0.489953
6.29206,0,0,0.489953
6.29206,0,0,0.515331
6.29206,0,0,0.515331
6.29206,0,0,0.515331
6.29206,0,0,0.53812
6.29206,0,0,0.53812
6.29206,0,0,0.55055
6.29206,0,0,0.55055
6.29206,0,0,0.55055
6.29206,0,0,0.557283
6.29206,0,0,0.557283
6.29206,0,0,0.558319
6.29206,0,0,0.558319
6.29206,0,0,0.555211
6.29206,0,0,0.555211
6.29206,0,0,0.555211
6.29206,0,0,0.548478
6.29206,0,0,0.548478
6.29206,0,0,0.543299
6.29206,0,0,0.543299
6.29206,0,0,0.543299
6.29206,0,0,0.540191
6.29206,0,0,0.540191
6.29206,0,0,0.544853
6.29206,0,0,0.544853
6.29206,0,0,0.554175
6.29206,0,0,0.554175
6.29206,0,0,0.554175
6.29206,0,0,0.574892
6.29206,0,0,0.574892
6.29206,0,0,0.60027
6.29206,0,0,0.60027
6.29206,0,0,0.60027
6.29206,0,0,0.632381
6.29206,0,0,0.632381
6.29206,0,0,0.665528
6.29206,0,0,0.665528
6.29206,0,0,0.665528
6.29206,0,0,0.698157
6.29206,0,0,0.698157
6.29206,0,0,0.727679
6.29206,0,0,0.727679
6.29206,0,0,0.751503
6.29206,0,0,0.751503
6.29206,0,0,0.751503
6.29206,0,0,0.768077
6.29206,0,0,0.768077
6.29206,0,0,0.776881
6.29206,0,0,0.776881
6.29206,0,0,0.776881
6.29206,0,0,0.777917
6.29206,0,0,0.777917
6.29206,0,0,0.773256
6.29206,0,0,0.773256
6.29206,0,0,0.762897
6.29206,0,0,0.762897
6.29206,0,0,0.762897
