jMRUI Data Textfile

Filename: /Users/Georg/Documents/MATLAB/osprey/exampledata/bruker/derivatives/jMRUIFiles/mouse1_7__jMRUI_A.TXT

PointsInDataset: 4096
DatasetsInFile: 1
SamplingInterval: 2.000000E-01
ZeroOrderPhase: 0E+00
BeginTime: 0E+00
TransmitterFrequency: 5.002977E+08
MagneticField: 1.175042E+01
TypeOfNucleus: 0E+00
NameOfPatient: No Name
DateOfExperiment: 48
DateOfExperiment: 55
DateOfExperiment: 45
DateOfExperiment: 74
DateOfExperiment: 117
DateOfExperiment: 108
DateOfExperiment: 45
DateOfExperiment: 50
DateOfExperiment: 48
DateOfExperiment: 50
DateOfExperiment: 49
Spectrometer: TrioTim
AdditionalInfo: jnear


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
-442.10852826	-7101.05236029	1775.92541309	1409.63486798
1121.77243377	-6386.18764481	-866.96317517	-1810.34416423
1114.93526092	-2161.81584286	-75.32748070	-230.82941226
-714.26099419	-3745.15294253	3686.38568990	-2142.41338100
-2345.15417153	-2218.54654266	3093.57272609	1713.08842560
-3410.43957464	-432.16432470	869.51020820	642.82260999
-2020.72264384	2411.07064891	354.48960237	2125.09715990
1363.70713890	1516.21920951	-2047.20023159	3280.22427778
840.91683065	-1813.41746428	657.07786701	4174.39929533
-2805.68488986	-948.43112869	-1511.55393342	-4632.99368777
-1409.60542229	2030.61807726	-1893.77973659	-301.65657238
944.33782059	1626.33577002	1972.50229939	104.08244342
1169.16162825	30.73042951	2269.18188124	1063.66672732
160.16880247	-79.18390011	823.79762591	-1946.27238820
1515.81124377	174.49472762	1930.81543191	2034.66366737
588.56521854	-2075.12722185	3039.51064092	-31.33449416
-1968.15362346	-784.16198956	1715.50401120	246.53291655
-204.48052180	1295.13055057	3222.61380798	-1075.20966034
1092.62809449	-412.03948116	953.86779601	2163.07945897
-920.15333026	-795.82373747	918.24988174	371.68235045
-536.30796600	346.99134655	1727.04308713	-3415.77784040
-467.68283489	243.97955074	1167.52935458	198.28677360
-105.19359084	806.65456610	4291.04126201	2974.00580116
119.38830767	-153.81166540	2248.62590770	-1144.49450062
-1010.69100084	654.35150172	871.93610617	2132.44202223
576.13838506	1816.43183497	3062.74823155	-1903.81140185
1595.33021271	-520.64696325	-1334.00270271	-829.19393783
-641.15466621	-384.79947787	-263.63446235	-3193.13571683
205.96540989	1540.69884867	1908.26730038	877.66741788
1841.91164500	38.29429892	3837.38503597	-3708.53134917
600.81001564	-1596.64049507	3353.75817068	-1994.70772737
-1331.10303319	-973.17335644	1602.68646280	1937.25782587
-1276.71446041	1004.54753409	-4670.28603217	1452.26146054
750.91690624	1236.86284482	3321.33467408	1480.22710711
1050.39495444	-442.60501038	-1458.98331975	-3210.79757088
25.92924416	-619.14824118	2358.45990626	-79.02791031
82.55918296	-565.73583079	2841.45642456	-2712.88081221
-828.87125082	-719.43600141	5754.86656778	512.64006469
-1570.69463776	372.79946762	1952.44710954	3773.94002924
-763.22741031	1441.49654718	1876.45008443	1390.47906525
808.18463477	1706.16412862	7561.41096847	-37.03346024
2306.87277745	238.25185373	4699.01279449	880.24406736
1277.43282708	-2228.98853448	2069.25888564	-2758.32604115
-910.63800504	-1872.30933509	672.15075614	-870.14981807
-1478.79404376	-531.75043284	1131.85198513	139.24833819
-1574.67641225	354.22060804	-3015.64147986	-3288.41514080
-709.48096657	1676.63392965	-1261.66431375	-840.24741119
927.14895917	1238.47871669	5838.33333974	776.62268116
1229.03150806	-272.57941149	5596.14318562	-409.75741857
425.13622087	-1294.76969686	1147.36127011	-4309.04285355
-1088.97165807	-1106.10324679	5338.99237282	160.77814702
-1557.37735687	498.14742968	-2650.12720141	-5025.88966949
-251.03132962	1482.41911525	1130.27749583	-1039.02277399
990.47859969	1419.06388413	2165.30171015	-983.61034193
2030.56518453	689.64498038	1429.57200798	-2461.24475138
2217.76757601	-1291.97657431	3700.94604697	383.84095855
195.99622977	-2565.20877083	-1624.13431528	-1819.16732833
-1813.99072113	-1291.10106749	184.79628721	-7549.32342584
-1717.11881927	695.46400757	3901.81598956	-1363.78416732
-304.67149760	1149.52450543	3242.45440332	-4484.10531371
80.13796351	441.95811370	2748.65817681	-2162.56825291
-96.54111288	592.71372493	767.92176159	-2605.89459343
547.79414168	718.59511130	1070.51611255	-527.02324367
759.05880500	-97.86380970	-1006.41959765	-279.53020046
80.15251689	-376.67316897	3054.55511777	-4120.74904439
-43.84179054	297.09528012	952.14878524	905.02422577
261.86478976	386.91503158	-4921.06752815	-1102.44662261
696.21674733	-141.04326066	927.24160936	-2823.19367358
266.76303421	-807.98228996	3234.27735516	240.63774797
-359.70894538	-398.90297593	4140.23682513	-869.35512607
87.23480687	13.76668526	2413.49351137	-3663.76522535
19.70879975	-446.88989196	421.58084323	-1349.30788055
-736.82616871	-146.29404198	2288.26271720	-373.49219916
-336.64976082	610.83085302	3569.94235387	-4507.92824722
91.81056863	235.40181078	-1254.37905620	-6890.04752627
-411.82218394	469.72901832	1070.48312693	-575.69734863
9.50309511	1006.79334372	2482.80768891	-895.68226421
913.78041077	687.83794852	1449.56303186	-2198.58723277
951.21393273	-307.84132728	2170.15699646	-3433.72679242
149.48549042	-862.06559283	-1408.79310840	-1919.98789366
-523.52661868	-348.74323018	-343.16645594	-4155.22147664
-143.41554752	137.10997997	1004.46898515	-2156.05337951
-9.33208326	-120.30967023	1649.52936425	-1576.93303957
-424.10317759	-69.47622006	-1499.07582149	701.38096886
91.28196407	564.13655513	135.89829721	841.81807106
754.37484257	-150.55877088	4532.88283993	-1107.74333874
11.14353637	-892.34798219	-92.47492654	-3618.75207085
-719.09730681	-34.53401597	3121.71618242	-2150.73445228
62.08685367	786.23663216	-1073.97057363	701.71593298
811.33339566	-48.72358026	-2862.13163686	-2625.67603711
-75.54407151	-832.94798773	-87.73299847	-6053.64557605
-975.96420973	-228.24382217	1885.41808842	-59.85025993
-522.20312239	845.75757700	3190.37124536	2222.17230227
466.80700937	875.91864937	1021.45369198	344.35532511
734.19149265	397.86441294	2713.78576373	-910.72314506
658.26826625	97.34117152	-639.58542018	-1287.17727665
955.79651300	-471.28225441	3151.27527560	-6267.34272121
294.78632426	-1361.15510883	96.69736596	-3491.03069700
-1158.61072745	-1085.80862785	225.48040355	-584.24285161
-1409.05205147	426.49494791	4078.49384324	-4185.01446114
-345.40108271	1046.77138592	2281.62617415	-2555.74497900
338.10999491	721.50384262	-2810.91885941	-4885.05054923
712.25056547	191.93683377	3575.61211735	-2596.48125524
750.75837939	-500.47192070	574.12249188	-2039.04329270
102.44202847	-801.17498726	569.28411317	3482.00018901
-542.03309660	-404.48063563	-3102.51615704	-4621.70206609
-431.73761631	233.48257537	2571.19903790	386.72868602
198.61604833	524.95324150	4144.48960592	1841.59215501
640.55172848	-59.98607234	2351.40865406	-1475.96359475
108.93757305	-492.51132216	-3345.76401706	-2704.77135514
-234.13310836	-156.93907029	3625.10616555	-1390.28216801
-37.73802786	7.29218139	2747.10288033	-3033.87806225
-113.35760125	-199.06325351	5371.32829261	-762.70313592
-199.42155890	251.15222583	-353.79596469	2376.55725214
362.46100329	391.50983014	2586.50643741	-6804.87598620
533.45176843	-338.95304117	-182.16632241	-3387.86555365
-149.49662417	-628.65950905	809.15248555	-6013.11952778
-549.19550933	86.02215239	-138.99463137	-1454.19154225
35.25047034	601.19034539	3547.79038048	-3179.21808430
649.18440997	70.85943449	1864.83477331	1272.24221610
358.87193105	-557.10461244	2081.16602106	-4010.64221958
-90.56394595	-564.11194835	138.93043952	-2851.32117366
-332.89541118	-355.20071087	1974.02765859	-2055.91894975
-333.58329008	-178.78558217	-1391.36736671	-4358.69650229
-503.57669571	65.22445715	-1600.57388428	-2759.74620387
-210.72708254	568.58046272	-839.52856291	-1884.31888839
374.87679195	535.78648377	-1991.99845938	-3732.53202971
511.08734983	-311.18990581	2891.39198137	-6819.24234007
-87.29583927	-277.11686738	-4098.31529875	-2989.88794788
-71.24827522	220.39053311	-560.35188006	-4753.28945457
203.48224327	148.77508830	-422.91083952	-4595.04622660
273.73153971	-4.61447705	-155.46493805	-1684.21770114
307.99443146	-107.50401103	-813.37877958	-492.19894126
182.08143792	-382.76994205	2672.37526913	-4115.78624042
-143.61754278	-556.17803296	1272.41924396	-627.73775766
-566.70505794	-147.00022442	-1497.31538179	-2337.81015290
-425.08405294	360.21480704	2561.44596764	959.90981571
-35.46556967	402.92776440	-1615.48564562	-4767.01283850
-17.26731203	78.96069743	-1082.58960367	-935.26507090
-107.37089801	163.87665671	320.44463135	-2022.41042849
76.42292630	314.42215622	921.41290370	2410.66192979
267.49339693	3.27641464	-1303.51907682	-674.63709241
82.84608279	-182.93156905	2283.19907842	-1682.09147304
-108.18470798	38.61149472	-1414.00645170	-1450.80759856
209.84513688	145.82207121	4675.44569163	-4307.49484601
260.96682091	-226.36522008	-331.87381247	1159.29373806
-317.64449986	-275.82626143	-3206.70387491	1201.08569796
-342.21315165	316.43851417	4071.16235871	996.36387164
268.39760252	278.88947801	497.69130087	-5006.72680578
409.28199925	-154.03532477	-70.91552683	-2620.37321104
-105.53127953	-492.79161813	-2649.88402114	1511.75269885
-410.82856397	-291.53382520	627.63864332	-2381.58836216
-427.62662124	47.11126455	991.73252275	-1749.43275604
-375.67224895	217.33718105	187.57803590	-2533.11928066
-274.30125317	492.73509040	1168.69624403	-509.02315095
