jMRUI Data Textfile

Filename: /Users/Georg/Documents/MATLAB/osprey/exampledata/nifti-mrs/derivatives/jMRUIFiles/ses-01_mrs_sub-01_ses-01_SVS-ref.nii_jMRUI_REF.TXT

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 1.666000E-01
ZeroOrderPhase: 0E+00
BeginTime: 0E+00
TransmitterFrequency: 2.972199E+08
MagneticField: 6.980763E+00
TypeOfNucleus: 0E+00
NameOfPatient: No Name
Spectrometer: TrioTim
AdditionalInfo: jnear


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
0.00445716	0.00000000	-0.00122433	-0.00163498
0.00669587	0.00005993	-0.00108261	-0.00026681
0.00591812	0.00010595	-0.00142471	-0.00018773
0.00628054	0.00016868	-0.00137347	-0.00001709
0.00592982	0.00021238	-0.00144727	0.00018786
0.00614462	0.00027516	-0.00122916	-0.00000361
0.00592953	0.00031873	-0.00065013	0.00135402
0.00606048	0.00038020	-0.00042227	0.00118385
0.00588403	0.00042203	-0.00078404	0.00123010
0.00596906	0.00048186	-0.00089214	0.00122985
0.00581935	0.00052224	-0.00079968	0.00137873
0.00587657	0.00058044	-0.00080197	0.00136624
0.00575248	0.00062022	-0.00080500	0.00140114
0.00580058	0.00067797	-0.00074501	0.00139015
0.00569306	0.00071711	-0.00060742	0.00123056
0.00573302	0.00077433	-0.00056383	0.00109851
0.00563437	0.00081242	-0.00058898	0.00107176
0.00565650	0.00086736	-0.00049420	0.00105261
0.00555520	0.00090279	-0.00049679	0.00104197
0.00556820	0.00095613	-0.00050703	0.00103115
0.00547952	0.00099147	-0.00048032	0.00092289
0.00549305	0.00104477	-0.00042630	0.00098387
0.00541198	0.00107963	-0.00045155	0.00108275
0.00542121	0.00113202	-0.00042920	0.00104313
0.00533943	0.00116491	-0.00033361	0.00109572
0.00533803	0.00121475	-0.00027354	0.00106651
0.00525763	0.00124605	-0.00031371	0.00104352
0.00525125	0.00129429	-0.00026949	0.00106380
0.00517783	0.00132546	-0.00017728	0.00101472
0.00516685	0.00137204	-0.00022544	0.00103643
0.00509537	0.00140200	-0.00015901	0.00103606
0.00508944	0.00144948	-0.00014862	0.00106181
0.00501668	0.00147743	-0.00007839	0.00112895
0.00499949	0.00152113	-0.00014848	0.00109252
0.00492466	0.00154665	-0.00013733	0.00111920
0.00491031	0.00159056	-0.00008311	0.00107559
0.00484891	0.00161877	-0.00007432	0.00110439
0.00483980	0.00166402	-0.00005578	0.00106778
0.00477723	0.00169046	-0.00013479	0.00100096
0.00475622	0.00173108	-0.00002249	0.00105367
0.00468346	0.00175223	-0.00001068	0.00103402
0.00466239	0.00179207	0.00004656	0.00109264
0.00459585	0.00181387	-0.00000723	0.00112658
0.00457940	0.00185492	-0.00002128	0.00115731
0.00451578	0.00187638	0.00006039	0.00120213
0.00449556	0.00191533	0.00007298	0.00115876
0.00443283	0.00193566	0.00007024	0.00115056
0.00440887	0.00197237	0.00007174	0.00110411
0.00434587	0.00199105	0.00001201	0.00114743
0.00432133	0.00202680	0.00003923	0.00112734
0.00426052	0.00204500	0.00007860	0.00115390
0.00423597	0.00208007	0.00013976	0.00112029
0.00417850	0.00209847	0.00008690	0.00116239
0.00415409	0.00213298	0.00008816	0.00112575
0.00409620	0.00214980	0.00013196	0.00113601
0.00406656	0.00218088	0.00012383	0.00115193
0.00400228	0.00219276	0.00021758	0.00113710
0.00397080	0.00222194	0.00018116	0.00120379
0.00391549	0.00223725	0.00018643	0.00113747
0.00389055	0.00226942	0.00015933	0.00109992
0.00383762	0.00228483	0.00016703	0.00115030
0.00381076	0.00231528	0.00022888	0.00121660
0.00374995	0.00232454	0.00026379	0.00116410
0.00371813	0.00235114	0.00026598	0.00112098
0.00365632	0.00235812	0.00025297	0.00117301
0.00362304	0.00238284	0.00022963	0.00122663
0.00356694	0.00239195	0.00023337	0.00123397
0.00353742	0.00241833	0.00031877	0.00114027
0.00348649	0.00242959	0.00032643	0.00120998
0.00345892	0.00245666	0.00027434	0.00121304
0.00340515	0.00246462	0.00027536	0.00125240
0.00337092	0.00248611	0.00022824	0.00119735
0.00331560	0.00249144	0.00027623	0.00118305
0.00328480	0.00251461	0.00028221	0.00119903
0.00323354	0.00252158	0.00030709	0.00123571
0.00320399	0.00254499	0.00033769	0.00118726
0.00315144	0.00254958	0.00034261	0.00122531
0.00311456	0.00256620	0.00033863	0.00120067
0.00306164	0.00256894	0.00038686	0.00125893
0.00302449	0.00258425	0.00037564	0.00120488
0.00297350	0.00258708	0.00040693	0.00122596
0.00294230	0.00260657	0.00034063	0.00118006
0.00289440	0.00261074	0.00038077	0.00131218
0.00286317	0.00262942	0.00029283	0.00119026
0.00281455	0.00263159	0.00038257	0.00122556
0.00278407	0.00265019	0.00043447	0.00125449
0.00273230	0.00264793	0.00043098	0.00127236
0.00269913	0.00266305	0.00040219	0.00120610
0.00264571	0.00265748	0.00034333	0.00119824
0.00261171	0.00267072	0.00039661	0.00122790
0.00256294	0.00266821	0.00046378	0.00125831
0.00253042	0.00268200	0.00041771	0.00128189
