jMRUI Data Textfile

Filename: /Users/Georg/Documents/MATLAB/osprey/exampledata/sdat/UnEdited/derivatives/jMRUIFiles/mrs_sub-01_ses-01_press-ref_sub-01_PRESS_35_ref_jMRUI_REF.TXT

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.000000E-01
ZeroOrderPhase: 0E+00
BeginTime: 0E+00
TransmitterFrequency: 1.277509E+08
MagneticField: 3.000467E+00
TypeOfNucleus: 0E+00
NameOfPatient: No Name
DateOfExperiment: 
Spectrometer: TrioTim
AdditionalInfo: jnear


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
9.36996355	0.00000000	0.19365886	0.01567851
17.28169697	-0.00662745	0.20697876	0.00876877
16.26469849	-0.01247487	0.20655390	0.04785192
16.08037644	-0.01850025	0.23158360	0.04937935
15.93602984	-0.02444558	0.22363599	0.07634173
15.84972975	-0.03039151	0.22424472	0.11438388
15.74663575	-0.03623262	0.23438138	0.10621728
15.61226957	-0.04191071	0.22788468	0.14735582
15.46011207	-0.04743118	0.24424180	0.16288014
15.34222059	-0.05295322	0.24832670	0.16503958
15.23619229	-0.05843035	0.24915130	0.20264474
15.12255759	-0.06379409	0.26336950	0.20105148
14.99022471	-0.06898464	0.22855023	0.22110940
14.86268856	-0.07409762	0.26749866	0.22738192
14.72597071	-0.07906351	0.24850738	0.25452806
14.59353616	-0.08394919	0.28514696	0.29073577
14.46356792	-0.08874846	0.24920159	0.31017951
14.34578462	-0.09352750	0.28252076	0.30179147
14.22730480	-0.09821141	0.26584210	0.31989012
14.09875249	-0.10273109	0.27418237	0.30532749
13.95530004	-0.10703791	0.28607230	0.34934337
13.80367836	-0.11116893	0.29899005	0.34934058
13.66225794	-0.11526976	0.28852433	0.37217774
13.53135524	-0.11935492	0.28828179	0.33340738
13.39405669	-0.12328083	0.27388890	0.35174365
13.24415818	-0.12698067	0.30121838	0.35715784
13.09352237	-0.13055820	0.27663285	0.39121583
12.94943159	-0.13408800	0.28495075	0.39690097
12.82126151	-0.13767827	0.27643761	0.41942660
12.68583845	-0.14108960	0.24708333	0.42481703
12.53451695	-0.14421417	0.29062262	0.44542956
12.38702561	-0.14726825	0.26399060	0.46975586
12.24395278	-0.15026345	0.24656762	0.48814453
12.10462825	-0.15319638	0.22042877	0.48704474
11.96774993	-0.15605438	0.23687802	0.52313050
11.83311768	-0.15883757	0.26952495	0.54818417
11.69244308	-0.16143410	0.26954453	0.54393337
11.55385810	-0.16395242	0.26413547	0.54708792
11.41347486	-0.16633826	0.26170197	0.59283304
11.28427620	-0.16878375	0.24324196	0.56981875
11.15273542	-0.17109424	0.23160440	0.62020185
11.02555213	-0.17337239	0.23386283	0.63765345
10.89741857	-0.17553770	0.24725565	0.65357891
10.76774562	-0.17757938	0.23994059	0.67261413
10.62833250	-0.17935726	0.20911676	0.69389260
10.50810600	-0.18135937	0.23897594	0.70752439
10.38504006	-0.18321920	0.25149157	0.74064357
10.26529303	-0.18504450	0.26650841	0.75882292
10.13055101	-0.18650191	0.26707310	0.77853255
10.00662029	-0.18805919	0.26044946	0.78411460
9.87969388	-0.18946398	0.27137349	0.80616103
