jMRUI Data Textfile

Filename: /Users/Georg/Documents/MATLAB/osprey/exampledata/sdat/UnEdited/derivatives/jMRUIFiles/mrs_sub-01_ses-01_press_sub-01_PRESS_35_act_jMRUI_A.TXT

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.000000E-01
ZeroOrderPhase: 0E+00
BeginTime: 0E+00
TransmitterFrequency: 1.277509E+08
MagneticField: 3.000467E+00
TypeOfNucleus: 0E+00
NameOfPatient: No Name
DateOfExperiment: 
Spectrometer: TrioTim
AdditionalInfo: jnear


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
0.05782515	0.01416723	-0.00964411	-0.01162836
0.08937124	-0.00458637	0.01750251	0.00096963
0.03001977	-0.05467926	-0.01189928	-0.00109779
-0.02828400	-0.05718510	0.00997683	-0.00111151
-0.04864481	-0.01268295	-0.00766206	-0.00206222
-0.01745396	0.02032722	0.00519625	-0.01391155
0.01180441	0.00419225	-0.00558421	-0.00888870
-0.00145080	-0.02287249	0.00510547	-0.00419665
-0.02878691	-0.01785132	0.00695560	-0.00737741
-0.03004023	0.01048489	0.00367420	0.00242613
-0.00802617	0.02459625	-0.00830505	0.00493225
0.00844675	0.01309727	0.00027854	-0.00146164
0.00507089	-0.00398361	-0.00118591	-0.00617758
-0.00506712	-0.00531623	-0.00144842	-0.01108224
-0.00957273	0.00152168	-0.00335084	-0.00041108
-0.01036664	0.00846182	-0.00626713	0.00893300
-0.00890627	0.01348693	-0.00391121	-0.00652761
0.00041499	0.01804939	0.00337378	0.00063342
0.01437338	0.01435204	0.00692794	0.00344301
0.02146624	0.00188045	-0.00729098	0.00899575
0.01410732	-0.00969284	-0.00997988	-0.01266042
0.00020611	-0.00940912	0.00582441	0.00987317
-0.00275257	-0.00075723	-0.00443978	-0.00259781
0.00758604	0.00103524	-0.00594483	0.00240468
0.01224080	-0.00995045	-0.00740709	0.00164929
0.00070520	-0.01619150	-0.00071616	0.00567680
-0.01175193	-0.00700388	0.00181630	0.00251800
-0.00851284	0.00625656	-0.00184814	0.00503730
0.00622564	0.00558764	0.00125146	0.00006038
0.01171942	-0.00638069	0.00762884	0.00036679
0.00122737	-0.01420778	-0.00121033	-0.00723071
-0.01009197	-0.00954927	-0.00850423	0.01048795
-0.01255912	-0.00061414	-0.00668622	0.00227433
-0.00940241	0.00288150	-0.00633638	0.00073661
-0.00554067	0.00565981	-0.00487911	-0.01044362
-0.00133540	0.00726224	-0.01413676	0.00999933
0.00163296	0.00507486	-0.01278652	0.01359090
0.00046334	-0.00007716	-0.01516214	0.02111867
-0.00462783	0.00130364	-0.00256185	0.01227019
-0.00346623	0.00850352	-0.00797635	0.00426667
0.00658558	0.01148616	0.00103074	-0.00311565
0.01341482	0.00296427	-0.00094376	0.00044937
0.00863672	-0.00786823	-0.00309838	-0.00407434
-0.00197324	-0.00900495	0.00339454	0.00393119
-0.00605665	0.00046783	-0.00233217	0.00960478
0.00044357	0.00683520	-0.01377863	0.00731197
0.00836316	0.00367204	-0.01328284	0.01054953
0.00874156	-0.00568112	-0.02021860	0.01578864
0.00169581	-0.01073223	-0.00692422	0.00006747
-0.00591800	-0.00863110	-0.01565390	0.00360158
-0.00968269	-0.00084809	-0.00852682	0.00879442
-0.00770439	0.00627762	-0.00516585	0.01447097
-0.00083403	0.00809897	-0.00377768	0.00346496
0.00539046	0.00447686	-0.00610801	0.01575019
0.00509741	-0.00129141	-0.00850143	0.01724275
0.00025524	-0.00184404	-0.00628692	0.00660773
-0.00289207	0.00180195	-0.01007988	0.01621206
-0.00022636	0.00437310	-0.01151800	0.01124720
0.00503564	0.00142928	0.01257310	0.00741933
0.00460019	-0.00367617	-0.01136235	0.01162067
-0.00106182	-0.00493615	0.01527105	0.01674957
-0.00608558	-0.00048614	-0.00501099	0.00305559
-0.00512836	0.00624357	-0.00129519	0.00326638
0.00056836	0.00838901	-0.00499544	0.02429008
0.00815927	0.00573259	0.00731609	0.00637607
0.01068896	-0.00135265	-0.01332613	0.01561292
0.00695391	-0.00748375	-0.02112051	0.01063139
-0.00051586	-0.00885415	-0.00219214	0.00995720
-0.00509988	-0.00431417	-0.00666194	-0.00464020
-0.00502055	-0.00058719	0.00359492	0.01711841
-0.00197214	0.00006599	0.00158592	-0.00037202
-0.00204853	-0.00151040	-0.00440719	0.01458667
-0.00506146	-0.00083948	0.00301236	0.00187279
-0.00551599	0.00363692	0.00990292	0.01487954
-0.00132916	0.00732015	0.00551999	-0.00390826
0.00441055	0.00644217	-0.00427234	0.00268311
0.00715553	0.00012545	-0.00570416	-0.00148168
0.00362962	-0.00605121	0.00442639	0.01964076
-0.00296869	-0.00619353	0.00102544	0.02018684
-0.00762458	-0.00087954	0.00234377	0.01630111
-0.00582900	0.00625465	0.00040501	0.00529147
0.00050961	0.00936169	-0.00522671	0.00380751
0.00649843	0.00544768	-0.00977491	0.00776217
0.00762158	-0.00010287	-0.01790486	0.01213499
0.00544591	-0.00310687	-0.00818056	0.01853065
0.00251313	-0.00311284	-0.02053041	0.00563595
0.00207320	-0.00277722	-0.00356333	0.00523374
0.00249722	-0.00425335	-0.02000361	0.00312233
0.00080536	-0.00633996	-0.01328316	0.01755041
-0.00419563	-0.00691134	-0.00219013	0.01790070
-0.00826809	-0.00316312	-0.02161323	0.01021183
-0.00850929	0.00277916	-0.01442299	0.01465289
-0.00491588	0.00694633	-0.00001204	0.01633402
0.00122162	0.00711803	0.00408876	0.01600167
0.00509506	0.00290380	-0.00182132	0.01245939
0.00345543	-0.00145619	-0.00000575	0.00328650
-0.00024251	-0.00214117	0.00067188	0.00616989
-0.00190864	0.00035048	0.00000723	0.00711688
-0.00059818	0.00236078	0.00106607	0.01943324
0.00178064	0.00158154	-0.00107382	0.00102223
0.00166774	-0.00058920	0.00552486	0.00724475
-0.00088764	-0.00167282	-0.01030656	0.03039671
-0.00246398	0.00098110	-0.01288770	0.00521334
-0.00092529	0.00434208	-0.00295087	0.00840273
0.00365609	0.00419058	-0.00497268	0.00740637
0.00702067	0.00029781	-0.01021759	0.00441352
0.00617343	-0.00531687	0.00531530	0.00722174
0.00064245	-0.00858979	-0.00159663	0.01841186
-0.00445994	-0.00599116	0.00363466	0.00908857
-0.00664085	-0.00084534	0.00042485	-0.00136245
-0.00424363	0.00257299	-0.01709648	0.01180184
-0.00087517	0.00218606	-0.00488343	0.01277181
0.00074664	0.00034246	-0.00502559	-0.00666067
-0.00057833	-0.00150797	-0.00594254	0.03027570
-0.00235837	-0.00048013	0.00353702	0.00953338
-0.00231573	0.00131025	-0.01351961	0.00604004
-0.00070342	0.00204415	-0.00205811	0.01465271
0.00018413	0.00084705	-0.01050764	0.01392773
-0.00044685	-0.00018585	0.00553302	0.01463352
-0.00177989	0.00026808	-0.00791905	0.02082750
-0.00217962	0.00267511	-0.00569814	0.00323309
0.00051978	0.00451349	-0.00642021	0.00988040
0.00416437	0.00323267	-0.00294014	0.02056713
0.00589997	-0.00037939	-0.00701509	0.02973698
0.00353684	-0.00423569	-0.01292517	0.00990973
-0.00048245	-0.00479960	-0.00546779	0.02536153
-0.00269653	-0.00225453	-0.00594229	0.02748985
-0.00167177	0.00075292	-0.00182067	0.02807820
0.00064819	0.00030014	-0.01087873	0.02376995
0.00109913	-0.00171114	-0.00329491	0.00796418
-0.00073489	-0.00328560	-0.01602023	0.01332145
-0.00308067	-0.00218152	0.00890804	0.01944872
-0.00402040	0.00041605	-0.01486539	0.01025051
-0.00218196	0.00224140	-0.00627587	0.01688173
0.00056643	0.00214762	0.00500542	0.02002575
0.00155202	-0.00000993	-0.00859007	0.01654126
-0.00032400	-0.00184342	-0.00226821	0.01788924
-0.00299416	-0.00063976	-0.00118672	0.00932264
-0.00289371	0.00260205	-0.00793130	0.00971591
-0.00033419	0.00477263	-0.00808896	0.01579734
0.00342688	0.00313519	-0.00336212	0.01402725
0.00468418	-0.00021404	-0.00262534	0.02979101
0.00250188	-0.00344940	-0.00187843	0.00834017
-0.00111285	-0.00387483	-0.00614476	0.03019461
-0.00274822	-0.00111708	0.00542401	0.00885896
-0.00251048	0.00143559	-0.00248647	0.02246810
-0.00043424	0.00186763	-0.00329510	0.01715394
0.00090320	0.00082117	-0.00437098	0.00877650
0.00038249	-0.00050341	-0.01278668	0.01160823
-0.00072347	0.00026264	-0.00569313	0.01679511
-0.00004569	0.00106122	0.00010483	0.01963542
